,id,name,abrev,color,alt_color,mascot,logos
740,2649,Toledo,TOL,#15397F,#FFDA00,Rockets,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
1702,1000358,Toledo A.C.,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1703,1000521,Tonkawa Preparatory,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1704,1000499,Toronto All-Stars,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
741,119,Towson,TOWS,#FFC229,,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/119.png
1705,1000297,Transylvania,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
742,2651,Trine,TRI,#000000,,Thunder,http://a.espncdn.com/i/teamlogos/ncaa/500/2651.png
743,3214,Trinity Bible,TRI,#FFFFFF,,Lions,http://a.espncdn.com/i/teamlogos/ncaa/500/3214.png
744,2977,Trinity CT,TRI,#000000,,Bantams,http://a.espncdn.com/i/teamlogos/ncaa/500/2977.png
745,2652,Trinity IL,TRI,#000000,,Trojans,http://a.espncdn.com/i/teamlogos/ncaa/500/2652.png
1706,2907,Trinity International IL,TRN,#FFFFFF,,Trojans,http://a.espncdn.com/i/teamlogos/ncaa/500/2907.png
746,386,Trinity TX,TRI,#000000,,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/386.png
1707,1000302,Trinity Texas,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
747,1000969,Trinity Valley C.C.,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
748,2653,Troy,TROY,#AE0210,#88898c,Trojans,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
1708,1000105,Troy Laureates,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
749,2654,Truman State,TRU,#000000,,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2654.png
750,112,Tufts,TUF,#000000,,Jumbos,http://a.espncdn.com/i/teamlogos/ncaa/500/112.png
751,1000998,Tufts University,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
752,2655,Tulane,TULN,#005837,#3baf29,Green Wave,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
1709,1000296,Tulane Alumni,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
753,202,Tulsa,TLSA,#004371,#ee3b33,Golden Hurricane,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png
754,2839,Tusculum,TUS,#000000,,Pioneers,http://a.espncdn.com/i/teamlogos/ncaa/500/2839.png
755,2657,Tuskegee,TUS,#000000,,Golden Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/2657.png
1710,1000341,Twin Cities Central High,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1711,1000370,Twin Cities High,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
756,1000967,Tyler J.C. ,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1721,1000864,U.S. Amphibians,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1722,1000890,U.S. International,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1723,1000595,U.S. Marines,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
757,5,UAB,UAB,#003b28,#ffc845,Blazers,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png
1712,1000731,UAY All-Stars,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
758,302,UC Davis,UCD,#002855,#c3c4c6,Aggies,http://a.espncdn.com/i/teamlogos/ncaa/500/302.png
1713,1000924,UC Riverside,,#FFFFFF,,Highlanders,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
759,2116,UCF,UCF,#000000,#231f20,Knights,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
760,26,UCLA,UCLA,#005C8E,#ffc72c,Bruins,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png
761,124110,UFTL,UFTL,#FFFFFF,,Eagles,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
762,113,UMass,UMASS,#971B2F,#572932,Minutemen,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png
763,379,UMass Dartmouth,MAS,#000000,,Corsairs,http://a.espncdn.com/i/teamlogos/ncaa/500/379.png
764,2349,UMass Lowell,UML,#000000,#cf1f2f,River Hawks,http://a.espncdn.com/i/teamlogos/ncaa/500/2349.png
765,2882,UNC Pembroke,NCP,#000000,,Braves,http://a.espncdn.com/i/teamlogos/ncaa/500/2882.png
772,2439,UNLV,UNLV,#000000,#c2c4c6,Rebels,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
1724,1000658,US Recup. Company,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
776,30,USC,USC,#ffc72c,#ae2531,Trojans,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png
1725,1000648,USS Boston,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1726,1000455,USS Franklin,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1727,1000683,USS Idaho,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1728,1000700,USS Maryland,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1729,1000652,USS Mercy,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1730,1000592,USS Minnesota,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1731,1000676,USS Mississippi,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1732,1000711,USS New Mexico,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1733,1000651,USS New York,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1734,1000708,USS Oklahoma,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1735,1000722,USS Tennessee,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1736,1000638,USS Utah,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1737,1000397,USS Washington,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
782,2630,UT Martin,UTM,#FF6700,#102a5c,Skyhawks,http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png
783,2636,UT San Antonio,UTSA,#002A5C,#f47321,Roadrunners,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
780,2638,UTEP,UTEP,#ff8200,#041e42,Miners,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
784,2842,UVA-Wise,VAW,#FFFFFF,,Highland Cavaliers,http://a.espncdn.com/i/teamlogos/ncaa/500/2842.png
785,271,UW-Oshkosh,WIS,#000000,,Titans,http://a.espncdn.com/i/teamlogos/ncaa/500/271.png
786,2723,UW-River Falls,WIS,#000000,,Falcons,http://a.espncdn.com/i/teamlogos/ncaa/500/2723.png
787,2744,UW-Stout,WIS,#000000,,Blue Devils,http://a.espncdn.com/i/teamlogos/ncaa/500/2744.png
788,2745,UW-Whitewater,WISW,#000000,,Warhawks,http://a.espncdn.com/i/teamlogos/ncaa/500/2745.png
766,237,Union,UNI,#000000,,Dutchmen,http://a.espncdn.com/i/teamlogos/ncaa/500/237.png
1714,2841,Union College,UNI,#FFFFFF,,Dutchmen,http://a.espncdn.com/i/teamlogos/ncaa/500/2841.png
1715,1000059,Union NY,,#FFFFFF,,Dutchmen,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
